ἡ χώρα: τὴν ________; τὴν χώρᾱν<br><br>τῆς χώρᾱς
ὁ Περικλῆς: ὁ ________; ὁ Περικλῆς<br><br>τοῦ (Περικλέεσος) Περικλέους
ὁ Περικλῆς: τῷ ________; τῷ Περικλεῖ<br><br>τοῦ (Περικλέεσος) Περικλέους
ὁ Περικλῆς: ῶ ________; ῶ Περίκλεις<br><br>τοῦ (Περικλέεσος) Περικλέους
ἡ αἰδώς: τὴν ________; τὴν (αἰδόα) αἰδῶ<br><br>τῆς (αἰδόσος) αἰδοῦς
ἡ αἰδώς: τῆς ________; τῆς (αἰδόσος) αἰδοῦς<br><br>τῆς (αἰδόσος) αἰδοῦς
ἡ αἰδώς: ἡ ________; ἡ αἰδώς<br><br>τῆς (αἰδόσος) αἰδοῦς
ἡ αἰδώς: τῇ ________; τῇ (αἰδόι) αἰδοῖ<br><br>τῆς (αἰδόσος) αἰδοῦς
ἡ αἰδώς: ῶ ________; ῶ αἰδώς<br><br>τῆς (αἰδόσος) αἰδοῦς
ὁ ἥρως: τὸν ________; τὸν ἥρωα / ἥρω<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τοῦ ________; τοῦ (ἥρωϝος) ἥρωος<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: ὁ ________; ὁ ἥρως<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τῷ ________; τῷ ἥρωϊ / ἥρῳ<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: ῶ ________; ῶ ἥρως<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τοὺς ________; τοὺς ἥρωᾰς<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τῶν ________; τῶν ἡρώων<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: οἱ ________; οἱ ἥρωες<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τοῖς ________; τοῖς ἥρωσῐ(ν)<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τοῖν ________; τοῖν ἡρώοιν<br><br>τοῦ (ἥρωϝος) ἥρωος
ὁ ἥρως: τὼ ________; τὼ ἥρωε<br><br>τοῦ (ἥρωϝος) ἥρωος
ἡ πόλις: τὴν ________; τὴν πόλῐν<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: τῆς ________; τῆς (πόληι̯ος) πόλεως<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: ῶ ________; ῶ πόλῐ<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: ἡ ________; ἡ πόλῐς<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: τῇ ________; τῇ πόλει<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: τὰς ________; τὰς πόλεις<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: τῶν ________; τῶν πόλεων<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: αἱ ________; αἱ πόλεις<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: ταῖς ________; ταῖς πόλεσῐ(ν)<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: τοῖν ________; τοῖν πολέοιν<br><br>τῆς (πόληι̯ος) πόλεως
ἡ πόλις: τὼ ________; τὼ πόλει<br><br>τῆς (πόληι̯ος) πόλεως
ὁ πῆχυς: τὸν ________; τὸν πῆχυν<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τοῦ ________; τοῦ (πήχευ̯ος) πήχεως<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: ὁ ________; ὁ πῆχυς<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τῷ ________; τῷ πήχει<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: ῶ ________; ῶ πῆχυ<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τοὺς ________; τοὺς πήχεις<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τῶν ________; τῶν πήχεων<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: οἱ ________; οἱ πήχεις<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τοῖς ________; τοῖς πήχεσι(ν)<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τοῖν ________; τοῖν πηχέοιν<br><br>τοῦ (πήχευ̯ος) πήχεως
ὁ πῆχυς: τὼ ________; τὼ πήχει<br><br>τοῦ (πήχευ̯ος) πήχεως
τὸ ἄστυ: τοῦ ________; τοῦ (ϝάστευ̯ος) ἄστεως<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τὸ ________; τὸ ἄστυ<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τῷ ________; τῷ ἄστει<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: ῶ ________; ῶ ἄστυ<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τῶν ________; τῶν ἄστεων<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τὰ ________; τὰ ἄστη<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τοῖς ________; τοῖς ἄστεσι(ν)<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τοῖν ________; τοῖν ἀστέοιν<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
τὸ ἄστυ: τὼ ________; τὼ ἄστει<br><br>τοῦ (ϝάστευ̯ος) ἄστεως
ὁ/ἡ σῦς: τὸν/τὴν ________; τὸν/τὴν σῦν<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τοῦ/τῆς ________; τοῦ/τῆς σῠός<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: ὁ/ἡ ________; ὁ/ἡ σῦς<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τῷ/τῇ ________; τῷ/τῇ συΐ<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: ῶ/ῶ ________; ῶ/ῶ σῦ<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τοὺς/τὰς ________; τοὺς/τὰς σῦς<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τῶν/τῶν ________; τῶν/τῶν συῶν<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: οἱ/αἱ ________; οἱ/αἱ σύες<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τοῖς/ταῖς ________; τοῖς/ταῖς συσί(ν)<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τοῖν/τοῖν ________; τοῖν/τοῖν συοῖν<br><br>τοῦ/τῆς σῠός
ὁ/ἡ σῦς: τὼ/τὼ ________; τὼ/τὼ σύε<br><br>τοῦ/τῆς σῠός
ὁ ἰχθύς: τὸν ________; τὸν ἰχθύ̄ν<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τοῦ ________; τοῦ ἰχθύος<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: ὁ ________; ὁ ἰχθύ̄ς<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τῷ ________; τῷ ἰχθύϊ<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: ῶ ________; ῶ ἰχθύ̄<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τοὺς ________; τοὺς ἰχθῦς<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τῶν ________; τῶν ἰχθύων<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: οἱ ________; οἱ ἰχθύες<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τοῖς ________; τοῖς ἰχθύσῐ(ν)<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τοῖν ________; τοῖν ἰχθύοιν<br><br>τοῦ ἰχθύος
ὁ ἰχθύς: τὼ ________; τὼ ἰχθύε<br><br>τοῦ ἰχθύος
ὁ/ἡ οἶς: τὸν/τὴν ________; τὸν/τὴν οἶν<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τοῦ/τῆς ________; τοῦ/τῆς (ὀϝιός) οἰός<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: ὁ/ἡ ________; ὁ/ἡ οἶς<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τῷ/τῇ ________; τῷ/τῇ οἰί<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: ῶ/ῶ ________; ῶ/ῶ οἶ<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τοὺς/τὰς ________; τοὺς/τὰς οἶς<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τῶν/τῶν ________; τῶν/τῶν οἰῶν<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: οἱ/αἱ ________; οἱ/αἱ οἶες<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τοῖς/ταῖς ________; τοῖς/ταῖς οἰσί(ν)<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τοῖν/τοῖν ________; τοῖν/τοῖν οἰοῖν<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ/ἡ οἶς: τὼ/τὼ ________; τὼ/τὼ οἶε<br><br>τοῦ/τῆς (ὀϝιός) οἰός
ὁ βασιλεύς: τὸν ________; τὸν βᾰσῐλέᾱ<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τοῦ ________; τοῦ (βασιλῆϝος) βᾰσῐλέως<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: ὁ ________; ὁ βᾰσῐλεύς<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τῷ ________; τῷ βᾰσῐλεῖ<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: ῶ ________; ῶ βᾰσῐλεῦ<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τοὺς ________; τοὺς βᾰσῐλέᾱς<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τῶν ________; τῶν βᾰσῐλέων<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: οἱ ________; οἱ βᾰσῐλῆς / βᾰσῐλεῖς<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τοῖς ________; τοῖς βᾰσῐλεῦσῐ(ν)<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τοῖν ________; τοῖν βᾰσῐλέοιν<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ὁ βασιλεύς: τὼ ________; τὼ βᾰσῐλῆ<br><br>τοῦ (βασιλῆϝος) βᾰσῐλέως
ἡ γραῦς: τὴν ________; τὴν γραῦν<br><br>τῆς γρᾱός
ἡ γραῦς: τῆς ________; τῆς γρᾱός<br><br>τῆς γρᾱός
ἡ γραῦς: ἡ ________; ἡ γραῦς<br><br>τῆς γρᾱός
ἡ γραῦς: τῇ ________; τῇ γρᾱῑ́<br><br>τῆς γρᾱός
ἡ γραῦς: ῶ ________; ῶ γραῦ<br><br>τῆς γρᾱός
ἡ γραῦς: τὰς ________; τὰς γραῦς<br><br>τῆς γρᾱός
ἡ γραῦς: τῶν ________; τῶν γρᾱῶν<br><br>τῆς γρᾱός
ἡ γραῦς: αἱ ________; αἱ γρᾶες<br><br>τῆς γρᾱός
ἡ γραῦς: ταῖς ________; ταῖς γραυσί(ν)<br><br>τῆς γρᾱός
ἡ γραῦς: τοῖν ________; τοῖν γρᾱοῖν<br><br>τῆς γρᾱός
ἡ γραῦς: τὼ ________; τὼ γρᾶε<br><br>τῆς γρᾱός
ἡ ναῦς: τὴν ________; τὴν ναῦν<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: τῆς ________; τῆς (νᾱϝός) νεώς<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: ἡ ________; ἡ ναῦς<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: τῇ ________; τῇ νηΐ<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: ῶ ________; ῶ ναῦ<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: τὰς ________; τὰς ναῦς<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: τῶν ________; τῶν νεῶν<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: αἱ ________; αἱ νῆες<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: ταῖς ________; ταῖς ναυσί(ν)<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: τοῖν ________; τοῖν νεοῖν<br><br>τῆς (νᾱϝός) νεώς
ἡ ναῦς: τὼ ________; τὼ νῆε<br><br>τῆς (νᾱϝός) νεώς
ὁ/ἡ βοῦς: τὸν/τὴν ________; τὸν/τὴν βοῦν<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τοῦ/τῆς ________; τοῦ/τῆς βοός<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: ὁ/ἡ ________; ὁ/ἡ βοῦς<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τῷ/τῇ ________; τῷ/τῇ βοΐ<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: ῶ/ῶ ________; ῶ/ῶ βοῦ<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τοὺς/τὰς ________; τοὺς/τὰς βοῦς<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τῶν/τῶν ________; τῶν/τῶν βοῶν<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: οἱ/αἱ ________; οἱ/αἱ βόες<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τοῖς/ταῖς ________; τοῖς/ταῖς βουσί(ν)<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τοῖν/τοῖν ________; τοῖν/τοῖν βοοῖν<br><br>τοῦ/τῆς βοός
ὁ/ἡ βοῦς: τὼ/τὼ ________; τὼ/τὼ βόε<br><br>τοῦ/τῆς βοός
ἡ πειθώ: τὴν ________; τὴν (πειθόι̯α) πειθώ<br><br>τῆς (πειθόι̯ος) πειθοῦς
ἡ πειθώ: τῆς ________; τῆς (πειθόι̯ος) πειθοῦς<br><br>τῆς (πειθόι̯ος) πειθοῦς
ἡ πειθώ: ἡ ________; ἡ πειθώ<br><br>τῆς (πειθόι̯ος) πειθοῦς
ἡ πειθώ: τῇ ________; τῇ (πειθόι̯ι) πειθοῖ<br><br>τῆς (πειθόι̯ος) πειθοῦς
ἡ πειθώ: ῶ ________; ῶ (πειθόι̯) πειθοῖ<br><br>τῆς (πειθόι̯ος) πειθοῦς
